"Guest Nights by Region (Monthly)","","","","","","","","","","","",""
"","Northland","Auckland","Waikato","Bay of Plenty","Hawke's Bay, Gisborne","Taranaki, Manawatu, Wanganui","Wellington","Nelson, Marlborough, Tasman","Canterbury","West Coast","Otago","Southland"
" ","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights"
"2015M12",150,360,234,231,102,129,182,146,287,54,244,45
"2016M01",255,390,342,354,153,170,195,261,346,73,325,59
"2016M02",109,346,213,194,98,143,200,155,249,58,203,49
"2016M03",129,369,222,206,106,148,192,139,275,61,244,57
"2016M04",87,342,184,184,93,121,184,98,225,47,216,46
"2016M05",56,320,125,135,63,87,155,70,161,24,143,32
"2016M06",57,305,147,149,60,92,157,55,157,25,148,24
"2016M07",67,332,165,177,70,123,177,68,198,27,200,26
"2016M08",59,337,151,151,60,123,161,64,173,25,181,25
"2016M09",69,338,174,177,69,130,178,72,196,34,170,29
"2016M10",82,359,198,173,80,119,190,82,228,42,178,32
"2016M11",84,343,180,151,82,111,168,90,212,39,180,40
"2016M12",161,347,253,235,117,141,180,155,249,50,237,44
"2017M01",263,351,361,360,165,171,187,262,307,68,301,48
"2017M02",124,331,227,193,113,140,181,140,241,49,202,46
"2017M03",100,366,219,206,107,142,201,132,234,52,221,49
"2017M04",108,324,213,212,109,123,178,113,230,46,224,46
"2017M05",64,321,138,151,72,95,158,77,176,25,148,32
"2017M06",56,288,151,166,65,98,150,70,172,23,145,27
"2017M07",63,326,162,187,70,125,173,75,211,30,201,26
"2017M08",54,307,140,153,64,117,148,82,192,27,182,26
"2017M09",62,314,169,180,78,136,166,83,211,32,181,29
"2017M10",87,321,206,197,95,133,190,101,252,39,181,42
"2017M11",81,326,190,172,84,114,178,95,235,39,176,42
"2017M12",173,334,255,249,120,138,181,158,276,50,238,44
"2018M01",267,353,348,365,158,166,195,244,336,70,295,53
"2018M02",122,319,217,195,93,128,176,137,254,51,198,49
"2018M03",131,351,231,237,103,153,206,143,285,58,227,54
"2018M04",97,297,193,202,97,124,193,112,248,46,206,45
"2018M05",73,300,143,152,76,106,171,80,182,24,155,33
"2018M06",57,272,151,165,74,104,169,65,176,24,156,28
"2018M07",64,315,172,181,73,142,187,74,224,28,200,29
"2018M08",58,327,154,160,69,129,168,68,199,27,189,25
"2018M09",70,323,175,185,78,140,193,79,207,35,185,33
"2018M10",94,339,215,208,94,146,201,112,261,41,204,40
"2018M11",90,356,188,176,86,127,188,95,223,38,199,38
"2018M12",170,329,274,253,115,142,193,162,292,51,261,48
"2019M01",270,353,387,355,165,170,203,243,334,57,292,49
"2019M02",124,307,223,204,103,143,187,147,252,52,198,49
"2019M03",116,356,239,227,113,156,215,120,267,48,216,54
"2019M04",123,320,234,243,111,140,208,128,285,51,231,49
"2019M05",75,332,162,167,82,106,182,81,184,29,159,34
"2019M06",59,299,161,176,71,104,179,70,177,25,150,28
"2019M07",65,325,179,194,79,140,195,79,213,28,206,30
"2019M08",65,342,161,162,76,128,195,74,202,29,198,28
"2019M09",70,367,185,179,85,149,189,81,215,31,192,34
"Table information:"
"Units:"
"Nights, Magnitude = Thousands"
""
"Footnotes:"
"Prior to November 2007, data for domestic and international guest nights was collected every third month (Jan, Apr, Jul, Oct)."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"ACS019AA"
""
"Last updated:"
"14 November 2019 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
